"","Date","Demographic_category","Administered_Dose1","Administered_Dose1_pct_known","Administered_Dose1_pct_US","Series_Complete_Yes","Administered_Dose1_pct_agegroup","Series_Complete_Pop_pct_agegroup","Series_Complete_Pop_Pct_known","Series_Complete_Pop_Pct_US","Booster_Doses_Vax_pct_agegroup","Booster_Doses_Pop_Pct_known","Booster_Doses_Vax_Pct_US","Booster_Doses_Pop_Pct_known_Last14Days","Booster_Doses_Yes","Booster_Doses_Yes_Last14Days","Second_Booster_Vax_pct_agegroup","Second_Booster_Pop_Pct_known","Second_Booster_Pop_Pct_US","Second_Booster_Pop_Pct_known_Last14Days","Second_Booster","Second_Booster_Last14Days","Bivalent_Booster","Bivalent_Booster_Pop_Pct_agegroup","Bivalent_Booster_Pop_Pct_known"
"1","11/30/2022","Race_eth_known",202029725,99.9,75.6,180458301,NA,NA,99.9,79,56.6,99.9,99.9,99.9,101681375,330794,48.4,99.9,89.7,99.9,29066328,547881,35069164,NA,99.9
"2","11/30/2022","Race_eth_NHMult_Oth",12342567,6.1,4.6,11090222,NA,NA,6.1,4.9,57.6,6.2,6.1,7.5,6352992,24808,49.6,6.1,5.5,5.9,1776494,32188,2168961,NA,6.2
"3","11/30/2022","Ages_65+_yrs",58454811,21.9,21.9,51370466,95,93.8,22.5,22.5,72.8,32.6,23.4,19.8,37421261,73454,55.4,64,64,51.2,20740985,307167,17855207,32.6,45
"4","11/30/2022","Sex_unknown",2344103,0.9,0.9,1509111,NA,NA,0.7,0.7,14,0.2,0.7,0.1,211478,406,26.4,0.1,0.1,0.1,29647,476,107658,NA,0.3
"5","11/30/2022","Ages_50-64_yrs",60542028,22.6,22.6,53021873,95,83.3,23.2,23.2,57.2,26.4,24.2,19.1,30321307,71016,38.5,36,36,48.8,11680040,292489,9620192,15.1,24.2
"6","11/30/2022","Ages_5-11_yrs",11260424,4.2,4.2,9240747,39.2,32.1,4,4,19.6,1.6,4.2,18.9,1809651,70256,NA,NA,NA,NA,NA,NA,631222,2.2,1.6
"7","11/30/2022","Sex_Male",126770324,47.8,47.4,108068155,77.6,66.1,47.6,47.3,48.3,45.4,47.6,48.2,52003450,179063,46.9,44.6,44.5,46.6,14432704,279025,17809017,11.6,45
"8","11/30/2022","Ages_65-74_yrs",34770357,13,13,30613010,95,95,13.4,13.4,71.1,19,14,11.7,21756703,43353,53.8,36.1,36.1,30.6,11712661,183343,9978092,31.3,25.1
"9","11/30/2022","Ages_2-4_yrs",1118644,0.4,0.4,550815,9.3,4.6,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"10","11/30/2022","Race_eth_Hispanic",42111394,20.8,15.8,35917750,66.1,56.3,19.9,15.7,43.8,15.4,19.9,18.1,15708253,59994,36.3,9,8,12.1,2609109,66350,3341936,5.7,9.5
"11","11/30/2022","Ages_12-15_yrs",11774607,4.4,4.4,10079357,69.6,59.6,4.4,4.4,29.5,2.6,4.6,8.4,2973434,31410,NA,NA,NA,NA,NA,NA,803979,4.8,2
"12","11/30/2022","Race_eth_NHNHOPI",653039,0.3,0.2,587728,70.3,63.3,0.3,0.3,50.4,0.3,0.3,0.3,295162,908,43.8,0.2,0.2,0.2,59264,1053,70059,8.2,0.2
"13","11/30/2022","Sex_Female",138232106,52.2,51.7,118792194,82,70.5,52.4,52,52.8,54.6,52.4,51.8,62452407,192341,48.7,55.4,55.4,53.4,17958674,320155,21803329,13.7,55
"14","11/30/2022","Ages_75+_yrs",23684454,8.9,8.9,20757456,95,90.6,9.1,9.1,75.5,13.7,9.5,8.1,15664558,30101,57.6,27.8,27.8,20.6,9028324,123824,7877115,34.4,19.8
"15","11/30/2022","Ages_18-24_yrs",24834124,9.3,9.3,20201150,81.2,66,8.8,8.8,35,6.2,9.2,7,7078628,26066,NA,NA,NA,NA,NA,NA,1304663,4.3,3.3
"16","11/30/2022","Ages_12-17_yrs",18091890,6.8,6.8,15505403,71.5,61.3,6.8,6.8,31.1,4.2,7.1,11.3,4822097,41919,NA,NA,NA,NA,NA,NA,1202955,4.8,3
"17","11/30/2022","Race_eth_unknown",65316789,32.3,24.4,47911152,NA,NA,26.5,21,27.2,12.8,26.5,12.4,12985960,41016,43.5,11.5,10.3,9.5,3354697,51775,4664310,NA,13.3
"18","11/30/2022","Age_known",267337227,99.9,99.9,228366979,NA,NA,99.9,99.9,52.3,99.9,99.9,99.9,114667335,371810,47.9,99.9,99.9,99.9,32421025,599656,39719443,NA,99.9
"19","11/30/2022","Ages_<5yrs",1606802,0.6,0.6,760806,8.1,3.9,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"20","11/30/2022","Ages_25-39_yrs",56359071,21.1,21.1,47129904,82.4,68.9,20.6,20.6,39.3,16.2,21.5,14.1,18534132,52569,NA,NA,NA,NA,NA,NA,5021060,7.3,12.6
"21","11/30/2022","Sex_known",265002430,99.9,99.1,226860349,NA,NA,99.9,99.3,50.6,99.9,99.9,99.9,114455857,371404,47.9,99.9,99.9,99.9,32391378,599180,39612346,NA,99.9
"22","11/30/2022","Race_eth_NHAIAN",1876149,0.9,0.7,1560994,77,64.1,0.9,0.7,48.7,0.7,0.9,1.2,758950,4023,44.1,0.6,0.5,0.7,171115,3677,236389,10.4,0.7
"23","11/30/2022","US",267346533,NA,100,228369460,80.5,68.8,NA,100,52.3,NA,100,NA,114667335,371810,47.9,NA,100,NA,32421025,599656,39719443,12.7,NA
"24","11/30/2022","Ages_16-17_yrs",6317283,2.4,2.4,5426046,75.3,64.7,2.4,2.4,34.1,1.6,2.5,2.8,1848663,10509,NA,NA,NA,NA,NA,NA,398976,4.8,1
"25","11/30/2022","Race_eth_NHBlack",20757429,10.3,7.8,18180519,50.4,44.1,10.1,8,47.8,8.5,10.1,9.4,8673233,31024,41.3,7.7,6.9,9,2244109,49246,2409244,6.3,6.9
"26","11/30/2022","Ages_<12yrs",13043991,4.9,4.9,10093858,26.9,20.8,4.4,4.4,95,1.6,0.4,18.9,1809651,70256,NA,NA,NA,NA,NA,NA,631222,2.2,1.6
"27","11/30/2022","Ages_<2yrs",488158,0.2,0.2,209991,6.4,2.7,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
